Position,Track Name,Artist,Streams,URL,Date,Region,danceability,energy,speechiness,tempo,valence,acousticness,Artist Popularity,Label
119.0,De Pies a Cabeza,Maná,20942.0,https://open.spotify.com/track/2CkHE54EH44Qj945ynQRw7,2017-01-01,ar,0.695,0.8140000000000001,0.0461,169.988,0.8740000000000001,0.0571,76.0,1
120.0,Me Estoy Enamorando,Agapornis,20900.0,https://open.spotify.com/track/0mX14Kpe4VTYmkqRgGslT5,2017-01-01,ar,0.727,0.906,0.0393,106.992,0.818,0.0687,58.0,1
121.0,Ella,Agapornis,20643.0,https://open.spotify.com/track/6LxbbZYulsV3tCZvKpJgSh,2017-01-01,ar,0.7090000000000001,0.79,0.0511,97.105,0.7809999999999999,0.569,58.0,1
122.0,This Is What You Came For,Calvin Harris,20349.0,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,2017-01-01,ar,0.63,0.928,0.0331,123.963,0.465,0.199,88.0,1
123.0,Andas En Mi Cabeza - Remix,Chino & Nacho,20121.0,https://open.spotify.com/track/733ybNEEEXHYxfk8sK6MRO,2017-01-01,ar,0.72,0.933,0.0904,104.099,0.581,0.205,69.0,1
124.0,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs,19920.0,https://open.spotify.com/track/0tICYNayWWhH9GPeFrfjfD,2017-01-01,ar,0.7929999999999999,0.7290000000000001,0.0394,121.972,0.488,0.08,71.0,1
125.0,Yo Tomo Licor,Amar Azul,19889.0,https://open.spotify.com/track/5EHRc2WJASyZg3alJqsbqU,2017-01-01,ar,0.767,0.901,0.0862,94.023,0.7509999999999999,0.319,59.0,1
126.0,Hoy,Agapornis,19864.0,https://open.spotify.com/track/11aJTEmPwKKoKRTpsudE1H,2017-01-01,ar,0.7090000000000001,0.8190000000000001,0.0559,104.969,0.897,0.127,58.0,1
127.0,Sorry,Justin Bieber,19775.0,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ,2017-01-01,ar,0.654,0.76,0.045,99.945,0.41,0.0797,91.0,1
128.0,No Te Vayas,Marama,19753.0,https://open.spotify.com/track/6lip7aGS7oXloGk1XFCqWH,2017-01-01,ar,0.69,0.81,0.042,142.351,0.8909999999999999,0.211,65.0,1
129.0,Un Beso,Danny Paz,19697.0,https://open.spotify.com/track/0mDYDLR1KToBR4plxAj4O4,2017-01-01,ar,0.773,0.85,0.18600000000000005,91.8,0.908,0.185,38.0,1
